"name","data_type","description"
"age","numeric","Mean age"
"female","numeric","Share of females"
"republican","numeric","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or what -> share Republican"
"democrat","numeric","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or what -> share Democrat"
"independent","numeric","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or what -> share Independent"
"mostNewsSM","numeric","Thinking specifically about the 2016 presidential campaign, did you get most of your news about this topic... -> Share 'Through social networking sites (such as Facebook or Twitter)'"
"follow","numeric","Mean: how often do you pay attention to whatâ€™s going on in government and politics"
"thermo_Dem","numeric","Mean: feeling thermometer toward Democratic party"
"thermo_Rep","numeric","Mean: feeling thermometer toward Republican party"
"thermo_Diff","numeric","Mean: feeling toward own party minus other party"
"ideologyN","numeric","Mean ideology on a 7-point scale"
"absIdeology","numeric","Mean absolute value of ideology on a 7-point scale"
